Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
farming,3.46,111,3,0.0909090909090909,0.0033670033670033,0.10649621470954243,0.6142475247524752,1.154,0.235,0.11114751281304598,0.7637293069306932,1.0144900000000003,0.6264099999999999,0.0779203442580858,5374.1
potion,4.38,108,5,0.1186440677966101,0.0033898305084745,0.17552431297594065,0.7574777777777778,1.086,0.339,0.1650718507936508,0.8135270911360799,1.0050898876404497,0.7014044943820225,0.1435522048562892,3268.9
patron,3.72,115,24,0.1050724637681159,0.0036231884057971,0.11896363154276676,0.7525809523809522,1.135,0.326,0.10982565615453732,0.8140560439560441,1.171980769230769,0.6699807692307692,0.08921910323124509,4609.61
surfer,4.73,88,3,0.1919191919191919,0.0033670033670033,0.25076433180778723,0.7681944444444444,1.161,0.395,0.23701989117199396,0.8217488262910798,1.0568732394366194,0.7001267605633801,0.21534546707123361,3772.72
womb,4.37,77,11,0.1972318339100346,0.0034602076124567,0.24420223578040712,0.7284999999999999,1.077,0.226,0.21255223972602744,0.7887140062597808,1.0602816901408452,0.6532957746478872,0.18339516288828867,4096.84
tragedy,2.07,114,2,0.1208053691275167,0.0033557046979865,0.03720160679742061,0.6126458333333332,1.217,0.172,0.06000534836769758,0.7789401315789474,1.1101789473684212,0.6167368421052631,0.026266929718446273,3581.82
tentacle,4.46,92,10,0.2827586206896552,0.0034482758620689,0.21390230290861242,0.8418684210526316,1.225,0.49,0.19421257142857146,0.8621754385964913,1.0168799999999998,0.7756533333333333,0.17135004366121367,2162.99
traveler,4.07,152,9,0.0446735395189003,0.0034364261168384,0.10797180554828914,0.766040650406504,1.073,0.427,0.10168259133228431,0.8132840197254432,1.072877049180328,0.6754426229508197,0.09320273428048138,4277.66
diplomacy,2.04,176,17,0.0535714285714285,0.0035714285714285,0.02342604834884648,0.7142123287671233,1.087,0.364,0.03243431600037275,0.7868098252243741,1.1369655172413795,0.6452620689655174,0.018855853241944866,2964.68
hairstyle,3.9,139,14,0.0384615384615384,0.0034965034965034,0.10829566396274153,0.7778034188034189,1.119,0.173,0.11534568252933507,0.8011112584733273,0.989793103448276,0.643301724137931,0.0860476825534074,1482.23
journalism,2.37,118,4,0.1385135135135135,0.0033783783783783,0.0471242171195898,0.6788431372549019,1.011,0.35,0.0517121757091186,0.7533080955154339,1.000930693069307,0.5878811881188118,0.033374790381035836,4330.22
efficiency,2.15,149,21,0.07168458781362,0.003584229390681,0.030710842446946367,0.6618421052631579,1.057,0.275,0.03888791454382224,0.7360375939849624,1.068068181818182,0.5499090909090909,0.02505653692931601,2044.32
kit,4.47,137,17,0.0530035335689045,0.0035335689045936,0.14438959960076522,0.7437454545454545,1.031,0.473,0.13911963603603603,0.7965567973311093,1.0594954128440368,0.6635963302752294,0.12863440659087133,2918.77
cruelty,2.04,137,9,0.1030927835051546,0.0034364261168384,0.030093232038961946,0.6852268907563025,1.071,0.27,0.04190757955182073,0.7767651331719129,1.006915254237288,0.639,0.01971301942348901,2641.12
heartache,2.2,104,10,0.1206896551724138,0.0034482758620689,0.04599929658134176,0.7458172043010753,1.138,0.311,0.05642747574925647,0.7584270687237027,1.004217391304348,0.6035652173913043,0.02896497903397717,3153.16
following,2.83,137,16,0.0739436619718309,0.0035211267605633,0.05785482382346909,0.6574471544715448,1.399,0.145,0.11064791765014424,0.7730867652938825,1.1711557377049182,0.5827377049180329,0.047362180173338736,1196.01
gallon,3.92,77,14,0.1643356643356643,0.0034965034965034,0.19638841920952535,0.697453125,1.065,0.261,0.1871739052884615,0.7375158730158731,0.9756984126984128,0.6113968253968254,0.16168792241336705,5875.21
genre,2.37,104,12,0.1298245614035087,0.0035087719298245,0.05343636256633487,0.6133131313131314,1.137,0.265,0.06440824808080808,0.7327802514945373,1.0864285714285715,0.5925204081632652,0.03899472049066258,5999.43
intellect,2.36,88,12,0.1631944444444444,0.0034722222222222,0.0625782979805861,0.7334691358024691,1.127,0.348,0.05938325158084914,0.7392197530864197,1.0862,0.5578749999999999,0.04114695163504969,2818.06
climbing,4.07,101,1,0.1538461538461538,0.0033444816053511,0.16204281765599748,0.6849684210526316,1.15,0.335,0.14451508377192984,0.7868374020156775,1.167946808510638,0.6283829787234042,0.12152489926134515,4789.6
cortex,3.79,106,63,0.2827004219409282,0.0042194092827004,0.13436535478763162,0.7912988505747125,1.035,0.192,0.139232191091954,0.7907693312434692,0.9761264367816092,0.6591379310344827,0.10610073531096481,2171.66
climate,3.5,87,7,0.1979522184300341,0.0034129692832764,0.13906162483256398,0.5971756756756758,1.01,0.201,0.13113418810810815,0.7072928544983339,0.976054794520548,0.5690136986301371,0.11084576057012537,4001.16
vanity,2.15,135,9,0.1388888888888889,0.0034722222222222,0.03395285729175073,0.7861261261261261,1.136,0.361,0.0333137989060489,0.8124022932022932,1.0861727272727273,0.6689636363636363,0.02154693208685663,2945.51
gaming,3.5,146,14,0.0734265734265734,0.0034965034965034,0.08310779035260035,0.7344999999999999,1.058,0.262,0.09524392941349838,0.8006001499250376,1.0418173913043478,0.6666695652173912,0.0684168986462733,1889.39
festival,4.33,113,10,0.1448275862068965,0.0034482758620689,0.1640917045897815,0.6681720430107526,1.185,0.231,0.17259116632349575,0.7832139098604438,1.0735268817204302,0.6415806451612903,0.13953569588292028,5461.12
sinus,4.27,81,9,0.2061855670103092,0.0034364261168384,0.22178984668060142,0.7582361111111111,1.081,0.386,0.19900220053272444,0.8134733959311424,0.982225352112676,0.6729859154929577,0.16846104411595084,4217.33
fighter,3.96,124,10,0.0896551724137931,0.0034482758620689,0.12510093624333554,0.7407064220183486,1.11,0.274,0.11968536622185155,0.7979886170574244,1.0396203703703704,0.6292314814814816,0.09640734394757407,3976.71
editor,4.25,122,8,0.1643835616438356,0.0034246575342465,0.14656336283276147,0.6835046728971962,1.407,0.184,0.1670736534267913,0.7759329924175629,1.1653584905660377,0.6170377358490565,0.12342787417212465,4322.27
clique,2.68,131,15,0.1543859649122807,0.0035087719298245,0.054354927507721904,0.8772881355932204,1.075,0.539,0.040470383706024786,0.8551881790525857,1.0863931623931624,0.7346837606837606,0.03302904043328517,3001.73
publication,4.41,111,2,0.1610738255033557,0.0033557046979865,0.1734158761787632,0.5356213592233009,1.02,0.237,0.17071082888349517,0.6813529411764705,1.0248333333333333,0.5190196078431373,0.14198938431414904,5864.32
dining,3.75,73,5,0.1254237288135593,0.0033898305084745,0.18935800334518127,0.6444126984126984,0.993,0.242,0.17965044047619044,0.7698786482334871,0.9767741935483872,0.6243064516129033,0.14523659728596822,3852.46
starvation,2.42,103,10,0.1672473867595819,0.0034843205574912,0.05636029653613148,0.7430113636363636,1.093,0.249,0.06762562614913176,0.7900031347962383,0.99283908045977,0.6542528735632184,0.036613975150575885,3975.38
hostel,3.9,111,12,0.1388888888888889,0.0034722222222222,0.13557514980258029,0.802863157894737,1.069,0.368,0.12402347894736843,0.7809054871220605,1.0211808510638298,0.6326063829787234,0.1080435350324728,3906.27
tribe,4.14,129,17,0.1130742049469964,0.0035335689045936,0.1315422369504207,0.7331568627450981,1.009,0.321,0.13138504321340186,0.7961110463987576,1.0306633663366338,0.665960396039604,0.1153752055631362,3129.96
herb,4.57,92,8,0.0787671232876712,0.0034246575342465,0.22375235987234027,0.7080941176470589,1.07,0.484,0.18668282352941176,0.7566478991596639,0.9894166666666664,0.6171666666666666,0.1765871767561288,2626.49
verdict,2.19,67,10,0.1344827586206896,0.0034482758620689,0.07028139362813825,0.5355333333333333,1.183,0.247,0.08164652950819672,0.6515203389830508,1.0803050847457627,0.4857627118644068,0.04996198822083347,5094.5
boredom,1.96,159,27,0.0439560439560439,0.0036630036630036,0.023893818240183575,0.748445205479452,1.197,0.166,0.040606874009877926,0.8110299480396789,1.0305793103448275,0.6720620689655172,0.014261542244872472,1380.62
protocol,1.97,141,13,0.1184668989547038,0.0034843205574912,0.02728959700624764,0.747031496062992,1.087,0.386,0.03027202405265748,0.7361227346581677,1.1065476190476191,0.5746031746031748,0.02243719066143518,4389.38
saying,2.58,106,15,0.087719298245614,0.0035087719298245,0.06196879214466329,0.6277204301075269,1.159,0.191,0.10280291924044842,0.7387914913510986,1.0535978260869567,0.5730108695652174,0.046902924835247696,2308.93
circuit,3.83,109,12,0.1076388888888889,0.0034722222222222,0.13291541045006644,0.6942604166666667,1.061,0.395,0.11751030734536085,0.7666339912280701,1.0415157894736844,0.634442105263158,0.10266550958658173,3688.94
neuron,3.69,100,11,0.2041522491349481,0.0034602076124567,0.13460061782054933,0.7882065217391304,1.091,0.343,0.12139439644693785,0.8099710941232681,1.0097912087912086,0.6764725274725275,0.0946800389407894,3998.49
missile,4.83,105,13,0.1149825783972125,0.0034843205574912,0.21945120873028398,0.6260978260869565,1.017,0.14,0.22485579967274424,0.749103917821309,1.0495714285714284,0.6101978021978022,0.18670014568770987,4957.51
dagger,4.96,97,12,0.2534722222222222,0.0034722222222222,0.2507562906744409,0.777525,1.081,0.351,0.2383451614197531,0.8010556962025317,1.1017341772151898,0.6519999999999999,0.21946845794808723,4586.67
dragon,4.39,125,2,0.1912751677852349,0.0033557046979865,0.15271436717064799,0.6739803921568628,1.127,0.326,0.15364131029887682,0.808663948747816,1.1138712871287129,0.6683861386138613,0.1303391553008216,3109.82
transition,2.19,138,22,0.2194244604316546,0.0035971223021582,0.034657780263121385,0.6695546875,1.126,0.297,0.049206742126937986,0.7678761072834646,1.1695905511811022,0.5730708661417323,0.027056556412843453,3233.34
voting,3.29,122,6,0.0884353741496598,0.0034013605442176,0.08776803333551123,0.6278807339449541,1.047,0.136,0.09714185562969141,0.7533272171253822,1.033101851851852,0.6019814814814815,0.068210231387639,4534.93
explorer,4.04,154,5,0.0542372881355932,0.0033898305084745,0.105017775210861,0.7773482142857143,1.122,0.205,0.1157244952591656,0.8275415057915058,1.1663423423423422,0.6865945945945949,0.09949034478399454,3260.71
increment,3.07,108,35,0.1018867924528302,0.0037735849056603,0.08612771115656956,0.8907799999999999,1.154,0.517,0.06261861168316832,0.7180492929292929,1.127949494949495,0.5572424242424242,0.06990716532323937,2886.44
passport,5.0,106,6,0.2210884353741496,0.0034013605442176,0.23327028406358932,0.7025,1.036,0.214,0.24253107983193273,0.73396528973035,0.9988192771084338,0.5736867469879517,0.22164825287855883,4962.68
enforcement,2.48,113,10,0.2413793103448276,0.0034482758620689,0.05442599562368086,0.6648691588785047,1.116,0.287,0.0677629500692281,0.7462911303121142,1.020990566037736,0.5984433962264151,0.03797209030124455,5542.32
glitch,3.03,117,26,0.1094890510948905,0.0036496350364963,0.07764100267024215,0.75372,1.082,0.347,0.07134603306930692,0.8196268686868686,1.1150202020202022,0.6850101010101011,0.05339413920268795,3470.99
oblivion,1.37,142,25,0.0735294117647058,0.0036764705882352,0.013073111212463158,0.7592142857142857,1.004,0.284,0.02286722959630046,0.8040844444444443,1.0973839999999997,0.655224,0.010280357935394075,2412.9
robin,4.61,77,11,0.231833910034602,0.0034602076124567,0.27184949120096036,0.8253281250000001,1.208,0.515,0.2451198759615385,0.8291527777777777,1.0533650793650795,0.696873015873016,0.22600218955401963,2750.62
germ,3.89,107,1,0.0903010033444816,0.0033444816053511,0.13966848576843438,0.7964285714285716,1.041,0.425,0.11288334343434345,0.8257559436145593,1.0652474226804125,0.7131134020618557,0.10024177795033418,3178.44
grenade,4.9,82,14,0.1398601398601398,0.0034965034965034,0.28841068540217185,0.7246164383561644,1.072,0.28,0.27527009422436144,0.781627092846271,1.1057083333333333,0.6378611111111111,0.2386171129358525,4494.46
altitude,2.96,74,9,0.193103448275862,0.0034482758620689,0.11670891461259117,0.660125,1.054,0.283,0.1216982180451128,0.7810876623376624,1.0913818181818185,0.6499272727272728,0.09320979072909545,4583.56
lifetime,2.15,124,18,0.0886524822695035,0.0035460992907801,0.03686197744320643,0.6518909090909091,1.094,0.378,0.03675587583947583,0.6985152627189325,1.0413761467889908,0.517211009174312,0.02984948278592079,2577.11
fortress,4.8,115,8,0.2157534246575342,0.0034246575342465,0.1983364200804458,0.718979797979798,1.185,0.315,0.19066675343434347,0.7914939393939394,1.2025050505050503,0.6705656565656564,0.16772704612275363,4243.96
cupcake,5.0,103,2,0.0983050847457627,0.0033898305084745,0.23972889851855556,0.8056881720430108,1.279,0.377,0.2184279360558224,0.7719018232819074,0.9929891304347824,0.6018152173913043,0.1971758536253941,2571.82
judo,4.32,113,13,0.156794425087108,0.0034843205574912,0.16335348567248517,0.8168630136986301,1.135,0.137,0.2041764651980748,0.7716342095520179,1.137027397260274,0.6276301369863013,0.1763499542251728,1416.71
profile,3.1,118,12,0.0972222222222222,0.0034722222222222,0.08052248533005482,0.6745360824742267,1.175,0.414,0.09022247422680413,0.7839222508591064,1.1305208333333334,0.63471875,0.06433800088618193,3498.5
advertising,3.88,151,8,0.0629370629370629,0.0034965034965034,0.09877816057054845,0.6460458015267176,1.194,0.181,0.11357411242192922,0.7803173223722842,1.0109,0.6463923076923077,0.07877632979984589,2376.04
safari,4.14,89,4,0.1452702702702702,0.0033783783783783,0.1898459646497392,0.7477361111111112,1.092,0.471,0.17795213774733631,0.7839710485133021,1.006577464788733,0.682338028169014,0.15891008320644381,5148.49
boulder,4.67,85,14,0.2587412587412587,0.0034965034965034,0.2533185057597831,0.7845652173913044,1.044,0.447,0.23390960351966875,0.7948020703933746,1.104289855072464,0.6513478260869565,0.21958738585751011,4154.49
conviction,2.07,117,16,0.1387900355871886,0.0035587188612099,0.03625464060980833,0.6481339285714285,1.129,0.235,0.05963352623261693,0.7694966216216217,1.0430270270270272,0.6301441441441441,0.024509345445977288,3494.28
dresser,4.96,96,16,0.1654929577464788,0.0035211267605633,0.2530342669406401,0.8308735632183908,1.12,0.451,0.21357919905956116,0.8021226944667201,1.0942441860465115,0.6490813953488371,0.20409433846750175,5520.9
stupidity,2.55,121,31,0.1189591078066914,0.0037174721189591,0.05315058537563157,0.7278165137614679,1.12,0.21,0.07220574278565473,0.8087098199116547,0.9974722222222222,0.6482129629629628,0.0338136005671736,1994.28
grandma,4.54,129,3,0.1216216216216216,0.0033783783783783,0.15823034265421446,0.7619912280701755,1.073,0.19,0.14737627353165525,0.7956266107747244,1.079221238938053,0.6377610619469026,0.1287809299760892,1781.21
plantation,4.5,96,1,0.1237458193979933,0.0033444816053511,0.2082677395057468,0.6864567901234568,1.143,0.336,0.20251660358325801,0.743007098765432,0.9898125,0.624025,0.17927859691273335,6340.99
pharmacist,8.030000000000001,83,6,0.1678082191780822,0.0034246575342465,0.7659006585358136,0.7214920634920635,1.057,0.364,0.8688080912698416,0.7656815156169995,0.9950967741935484,0.6279838709677421,0.8303497307357995,4024.62
coaster,4.68,98,12,0.15625,0.0034722222222222,0.22077874035135941,0.76995,1.111,0.151,0.2151223999999999,0.8151556962025317,1.0371645569620251,0.6944683544303797,0.19023669790191702,4619.12
niece,4.28,69,16,0.1690140845070422,0.0035211267605633,0.26083049813886383,0.6777796610169492,1.109,0.137,0.27292594887005656,0.7555341905318528,1.054551724137931,0.598051724137931,0.22065896684704114,4925.21
hardware,4.62,85,10,0.1463414634146341,0.0034843205574912,0.2476147160373495,0.6708,1.011,0.212,0.23644708982456136,0.7697117117117117,1.1263243243243244,0.6539729729729731,0.20318573083926036,4387.34
spree,2.92,119,34,0.225563909774436,0.0037593984962406,0.07112303766936136,0.7866846846846849,1.056,0.263,0.06435823391248391,0.7968044226044225,1.101790909090909,0.6458727272727274,0.04738072620055416,1888.46
appendix,4.25,121,12,0.1006944444444444,0.0034722222222222,0.14764328842741037,0.8108557692307692,1.103,0.536,0.12732087490842492,0.8041600732600733,1.1922596153846154,0.6737211538461538,0.1198230774852204,3733.29
senate,3.81,117,16,0.1174377224199288,0.0035587188612099,0.12269813561490572,0.6003118279569892,1.216,0.186,0.16481588526652938,0.7372952314165498,1.0924891304347824,0.5898043478260869,0.11397648683035722,4418.49
matrix,3.11,133,23,0.1191335740072202,0.003610108303249,0.07203098149298731,0.7623211009174312,1.208,0.37,0.07341448215179315,0.7964500417014179,1.101908256880734,0.6446513761467889,0.056282311443228907,2865.16
plaque,4.7,102,9,0.1875,0.0034722222222222,0.21398980298662373,0.7710612244897959,1.103,0.369,0.17956959884559884,0.8225937302756154,1.077958762886598,0.699257731958763,0.15706417034927478,5208.54
