Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
establish,2.0,136,30,0.0592592592592592,0.0037037037037037,0.02909474591554803,0.5655403225806451,0.968,0.2,0.04523769329032258,0.7021414896407028,0.975780487804878,0.5309349593495936,0.024319160655592014,2355.51
munch,3.82,84,16,0.1690140845070422,0.0035211267605633,0.1712654930021999,0.8768805970149254,1.1,0.537,0.13787136150131696,0.7909027589326096,0.9634090909090908,0.6373181818181818,0.14092987543162488,2654.4
rehearse,3.32,93,11,0.2387543252595155,0.0034602076124567,0.11734952640558746,0.7868271604938272,1.104,0.414,0.10196459936766035,0.7192969135802469,1.0740875,0.5576000000000001,0.09372749313262194,3621.82
meditate,3.25,118,8,0.071917808219178,0.0034246575342465,0.0884545967357558,0.8291499999999999,1.133,0.351,0.08195582574257426,0.8332886868686868,1.0886868686868685,0.6665959595959595,0.06567625186290346,1900.22
inspire,1.74,157,32,0.044776119402985,0.003731343283582,0.01906354248868749,0.6716524822695036,1.054,0.204,0.034172231195684744,0.7670638297872341,1.1051785714285711,0.6085785714285714,0.014595171126770754,2314.18
pierce,3.73,124,11,0.1072664359861591,0.0034602076124567,0.11098111553292953,0.8533962264150944,1.166,0.598,0.09112082630929288,0.799003953279425,1.155495238095238,0.654104761904762,0.08680244770208936,2850.32
refute,2.21,91,58,0.152892561983471,0.0041322314049586,0.0529971907775692,0.7561875,1.097,0.201,0.0720821438271605,0.7749183544303797,1.0625063291139238,0.6152405063291139,0.03523157991675914,1852.23
restore,2.79,134,39,0.0996168582375478,0.003831417624521,0.0574593837567787,0.6315691056910568,1.099,0.236,0.06531443030422239,0.7533787818206052,1.0105491803278688,0.5821311475409836,0.042208719943698875,1778.99
injure,3.48,91,11,0.245674740484429,0.0034602076124567,0.1315972343532246,0.8352558139534882,1.081,0.314,0.10730818203688851,0.7885827633378933,1.0398117647058824,0.6503764705882353,0.0908148253068911,3059.11
cooperate,1.87,123,17,0.0954063604240282,0.0035335689045936,0.02812117282726154,0.6904684684684684,1.112,0.296,0.045773783783783786,0.7469577395577396,1.1010181818181817,0.5861,0.023157998772323097,1694.54
prohibit,1.93,107,17,0.1095406360424028,0.0035335689045936,0.03442504983314664,0.6735604395604396,1.021,0.17,0.04940243573817487,0.7245028083028082,0.9586555555555556,0.571088888888889,0.024359073708894435,2307.96
disturb,3.04,144,28,0.1003717472118959,0.0037174721189591,0.06357680240425018,0.7531908396946565,1.071,0.334,0.06480379366180893,0.7982091603053435,1.0443384615384614,0.6341846153846155,0.045853720568214316,1804.77
seduce,2.18,136,13,0.1358885017421602,0.0034843205574912,0.03463820279862947,0.7820387596899224,1.159,0.431,0.039563514669051884,0.8250541424418604,1.0110234375,0.6771328125,0.019357671128325673,2763.57
emerge,2.27,151,28,0.0661764705882353,0.0036764705882352,0.03377350295365927,0.6955390625,1.146,0.264,0.04570784811046512,0.7850136564960629,1.0494330708661417,0.600283464566929,0.02584888865708182,1551.29
cancel,2.41,131,22,0.1151079136690647,0.0035971223021582,0.04389077146542419,0.6696545454545455,1.081,0.17,0.05371487878787879,0.7440151793160967,1.036183486238532,0.5877247706422019,0.03373678234163647,1792.04
congratulate,3.04,132,22,0.0719424460431654,0.0035971223021582,0.06922104058674901,0.7652434782608697,1.096,0.309,0.070687673988006,0.7673023646071702,1.048061403508772,0.5979385964912282,0.05338140967118011,2596.77
confide,1.81,84,15,0.256140350877193,0.0035087719298245,0.039143590296691164,0.8763461538461539,1.195,0.423,0.033790523855890944,0.7494415584415584,1.025051948051948,0.578935064935065,0.023807726607383523,2119.83
inhibit,2.1,121,48,0.1825396825396825,0.0039682539682539,0.036198721742331144,0.7775688073394496,1.11,0.29,0.04790706964136781,0.8160169894665308,1.032462962962963,0.6458796296296297,0.0223074091546625,1841.38
inherit,2.04,93,9,0.1615120274914089,0.0034364261168384,0.04418099477109314,0.7754125000000001,1.074,0.383,0.038670549382716045,0.7610632911392405,1.020898734177215,0.6120886075949368,0.02890964317140139,3531.34
humiliate,2.07,121,14,0.166077738515901,0.0035335689045936,0.035146356110966503,0.7486055045871559,1.133,0.159,0.0608245317764804,0.8023389398572885,0.9892962962962965,0.6754722222222223,0.019645583083811265,1240.77
embarrass,2.14,122,18,0.1276595744680851,0.0035460992907801,0.03719791759771119,0.7791067961165048,1.095,0.159,0.046959749066467514,0.7882872644203314,1.0535980392156865,0.6601862745098039,0.024999110969232834,1426.4
degrade,1.64,169,26,0.0328467153284671,0.0036496350364963,0.015733206543949607,0.8155931034482758,1.183,0.379,0.03438582489371752,0.8150790229885058,1.0390833333333331,0.6795833333333332,0.009089375418396125,1165.39
hesitate,2.46,115,16,0.1197183098591549,0.0035211267605633,0.052066087676257096,0.6963495145631067,1.003,0.311,0.05802850634802091,0.746720731010851,1.0142549019607845,0.5830686274509804,0.03904285625351196,1950.62
unload,3.21,137,23,0.1155234657039711,0.003610108303249,0.07446870418473404,0.7929663865546218,1.065,0.454,0.07133621505602242,0.7994448084318473,1.0666694915254236,0.6551610169491524,0.056143996384856724,2154.99
