Target,CS,AmountTypes,AmountNA,HighestRF,LowestRF,VarianceRF,AverageDistanceT-A,HighestDistanceT-A,LowestDistanceT-A,VarianceDistanceT-A,AverageDistanceA-A,HighestDistanceA-A,LowestDistanceA-A,VarianceDistanceA-A,VariancePOS
exact,2.54,122,26,0.1897810218978102,0.0036496350364963,0.0524514785656945,0.62272,1.125,0.179,0.06915341089108912,0.7162266666666666,1.057161616161616,0.5380202020202022,0.04587810645955504,2303.51
obvious,2.07,135,33,0.1423220973782771,0.0037453183520599,0.03146658187685884,0.5218655462184875,1.038,0.225,0.04960313837535014,0.6777833333333334,1.120126050420168,0.4926050420168066,0.029970266396855284,2078.77
heavy,3.37,111,6,0.1224489795918367,0.0034013605442176,0.10109765907358838,0.6456699029126213,1.091,0.355,0.09960955451829726,0.7706813249571672,1.0222745098039214,0.6121372549019606,0.07330198673669631,2822.62
old,2.72,117,5,0.1084745762711864,0.0033898305084745,0.06251970427988816,0.6365818181818181,1.115,0.259,0.06949342997542997,0.7880366972477064,1.0271284403669727,0.6271376146788992,0.04098569019014041,2145.83
true,1.7,106,6,0.1666666666666666,0.0034013605442176,0.02705012440405492,0.5278437500000001,1.267,0.171,0.04955517182130584,0.7209978070175439,1.1437684210526315,0.5424421052631578,0.02139072510747161,3045.79
difficult,2.21,102,18,0.301418439716312,0.0035460992907801,0.04791889227195359,0.5248736842105263,1.009,0.153,0.06464224725877192,0.7297473684210526,0.9935,0.5852234042553192,0.03073105785343849,3217.51
social,2.27,119,5,0.0711864406779661,0.0033898305084745,0.04276444683503969,0.6587363636363638,1.09,0.254,0.05964333579033578,0.7823095913261051,1.0534862385321102,0.6284862385321102,0.028072185956076436,3627.88
big,3.66,86,11,0.1868512110726643,0.0034602076124567,0.1537039538580608,0.5373827160493828,1.161,0.195,0.1519567455585667,0.7370132716049383,1.0617375,0.5605374999999999,0.11343255881389266,4326.04
quick,2.89,112,6,0.2482993197278911,0.0034013605442176,0.07408198637384725,0.6467523809523809,1.166,0.211,0.08901910700808627,0.795074358974359,1.115480769230769,0.6159999999999999,0.053029911637213795,1554.71
young,3.16,114,7,0.1604095563139931,0.0034129692832764,0.0867492063558744,0.5944285714285714,1.309,0.278,0.1019994728661276,0.7640734432234433,1.1446442307692308,0.6073076923076923,0.06461512718404601,3005.17
next,2.56,119,24,0.0869565217391304,0.0036231884057971,0.05438377030459318,0.4654230769230769,1.176,0.158,0.10068344725274728,0.634694921583271,1.0785922330097086,0.4565436893203884,0.057409372174378866,1033.96
aware,2.0,114,17,0.0918727915194346,0.0035335689045936,0.03468106262675222,0.5578,1.14,0.215,0.05880363366336633,0.7011349494949496,1.032949494949495,0.543030303030303,0.02849786292954548,1745.82
full,3.59,132,9,0.1168384879725085,0.0034364261168384,0.09666582506528752,0.6220625,1.174,0.201,0.12498454361567636,0.7821695624195624,1.012783783783784,0.6157207207207207,0.07851509687494837,1524.84
able,2.38,100,30,0.1148148148148148,0.0037037037037037,0.05593317307039346,0.5449259259259259,1.229,0.157,0.11995823923517011,0.7308246913580246,1.15125,0.5400499999999999,0.05346157752615927,1651.79
nice,2.18,116,9,0.0927835051546391,0.0034364261168384,0.04050352259440697,0.6049907407407408,1.084,0.269,0.05847500798504928,0.7453758069996602,1.07275,0.5541388888888888,0.030155182860316845,3011.66
sick,2.97,136,4,0.2094594594594594,0.0033783783783783,0.06441480279221468,0.6447039999999999,1.094,0.236,0.0716762306031746,0.7952629677419355,1.0907096774193543,0.6252661290322581,0.04523211315721057,1646.1
slight,1.9,117,11,0.1522491349480969,0.0034602076124567,0.030601359506318752,0.7074455445544554,1.189,0.457,0.03696372354882547,0.7775857425742575,1.01036,0.5818800000000001,0.02272075728114929,2385.12
